asset_ticker,asset_secid,experiment_id,experiment_group,book_type,crisis_n_days,crisis_exceedance_rate_base,crisis_exceedance_rate_hist,crisis_exceedance_rate_ewma,crisis_exceedance_rate_caviar,crisis_exceedance_rate_garch_t,crisis_exceedance_rate_conf,crisis_avg_loss_norm,crisis_avg_q_hat_base_raw,crisis_avg_q_hat_ref,crisis_avg_q_hat_core_op,crisis_avg_q_hat_rep,crisis_avg_q_hat_base,crisis_avg_q_hat_hist,crisis_avg_q_hat_ewma,crisis_avg_q_hat_caviar,crisis_avg_q_hat_garch_t,crisis_avg_buffer_t,crisis_avg_var_conf_raw,crisis_avg_var_conf,crisis_avg_violation_conf,marking_mode,book_quality_mode_spec,var_floor_value,base_model_kind_requested
QQQ,107899,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,risk_reversal_25d_30d,38,0.23684210526315788,0.23684210526315788,,,,0.18421052631578946,-0.00367554935140925,0.048919803105009665,0.048919803105009665,0.06743910229861254,0.06743910229861254,0.048919803105009665,0.042301966266067144,,,,0.01851929919360289,0.06743910229861254,0.06743910229861254,0.010368454695953837,robust_all,strict_economic,0.0,lightgbm
QQQ,107899,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,short_put_spread_25delta_10delta_30d,36,0.2222222222222222,0.3055555555555556,,,,0.1388888888888889,0.014653693040306785,0.06491221492226532,0.06491221492226532,0.08327500307989814,0.08327500307989814,0.06491221492226532,0.03912823316651575,,,,0.0183627881576328,0.08327500307989814,0.08327500307989814,0.00825643772454381,robust_all,strict_economic,0.0,lightgbm
QQQ,107899,learner_gbr_robust_all_floor_0p0_quality_loose,learner_robustness,atm_straddle_30d,39,0.1282051282051282,0.05128205128205128,,,,0.07692307692307693,-0.029906142188740582,0.17470932211703788,0.17470932211703788,0.2373910803669785,0.2373910803669785,0.17470932211703788,0.24523009850992375,,,,0.06268175824994067,0.2373910803669785,0.2373910803669785,0.005684823644248854,robust_all,loose,0.0,gbr
QQQ,107899,learner_gbr_robust_all_floor_0p0_quality_loose,learner_robustness,risk_reversal_25d_30d,39,0.15384615384615385,0.23076923076923078,,,,0.1282051282051282,-0.0033499216799345974,0.05298045709862754,0.05298045709862754,0.06412349121335627,0.06412349121335627,0.05298045709862754,0.04230636782961227,,,,0.011143034114728731,0.06412349121335627,0.06412349121335627,0.008055969793427811,robust_all,loose,0.0,gbr
QQQ,107899,learner_gbr_robust_all_floor_0p0_quality_loose,learner_robustness,short_put_spread_25delta_10delta_30d,38,0.15789473684210525,0.2894736842105263,,,,0.15789473684210525,0.014104096493193463,0.07290355115057989,0.07290355115057989,0.09534399681228047,0.09534399681228047,0.07290355115057989,0.03902124304266662,,,,0.022440445661700583,0.09534399681228047,0.09534399681228047,0.006933159968105938,robust_all,loose,0.0,gbr
QQQ,107899,learner_xgboost_robust_all_floor_0p0_quality_loose,learner_robustness,atm_straddle_30d,39,0.1282051282051282,0.05128205128205128,,,,0.07692307692307693,-0.029906142188740582,0.19079630095989275,0.19079630095989275,0.2458934706766577,0.2458934706766577,0.19079630095989275,0.24523009850992375,,,,0.05509716971676497,0.2458934706766577,0.2458934706766577,0.0044536715306080525,robust_all,loose,0.0,xgboost
QQQ,107899,learner_xgboost_robust_all_floor_0p0_quality_loose,learner_robustness,risk_reversal_25d_30d,39,0.15384615384615385,0.23076923076923078,,,,0.1282051282051282,-0.0033499216799345974,0.061818685597525194,0.061818685597525194,0.07154405903842728,0.07154405903842728,0.061818685597525194,0.04230636782961227,,,,0.009725373440902057,0.07154405903842728,0.07154405903842728,0.006222813425358262,robust_all,loose,0.0,xgboost
QQQ,107899,learner_xgboost_robust_all_floor_0p0_quality_loose,learner_robustness,short_put_spread_25delta_10delta_30d,38,0.18421052631578946,0.2894736842105263,,,,0.15789473684210525,0.014104096493193463,0.08686880389914702,0.08686880389914702,0.10604611518023944,0.10604611518023944,0.08686880389914702,0.03902124304266662,,,,0.01917731128109244,0.10604611518023944,0.10604611518023944,0.004963194741082384,robust_all,loose,0.0,xgboost
QQQ,107899,main_lightgbm_robust_all_floor_0p0_quality_loose,main,atm_straddle_30d,39,0.15384615384615385,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.07692307692307693,-0.029906142188740582,0.1846843150173356,0.1846843150173356,0.24215220056484818,0.24215220056484818,0.1846843150173356,0.24523009850992375,0.2020252064779505,0.21157262478671315,0.2750821003420603,0.05746788554751264,0.24215220056484818,0.24215220056484818,0.003588201568343372,robust_all,loose,0.0,lightgbm
QQQ,107899,main_lightgbm_robust_all_floor_0p0_quality_loose,main,risk_reversal_25d_30d,39,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.20512820512820512,0.1794871794871795,-0.0033499216799345974,0.05396854380524852,0.05396854380524852,0.0709692308382412,0.0709692308382412,0.05396854380524852,0.04230636782961227,0.062357411837767426,0.07513605206172735,0.06723763866591419,0.01700068703299268,0.0709692308382412,0.0709692308382412,0.008831968718323008,robust_all,loose,0.0,lightgbm
QQQ,107899,main_lightgbm_robust_all_floor_0p0_quality_loose,main,short_put_spread_25delta_10delta_30d,38,0.21052631578947367,0.2894736842105263,0.21052631578947367,0.18421052631578946,0.2631578947368421,0.13157894736842105,0.014104096493193463,0.06581764324329636,0.06581764324329636,0.08412153170674963,0.08412153170674963,0.06581764324329636,0.03902124304266662,0.06877220797911955,0.06371088020560833,0.04702547581423188,0.018303888463453263,0.08412153170674963,0.08412153170674963,0.007608146754810365,robust_all,loose,0.0,lightgbm
QQQ,107899,marking_lightgbm_strict_exact_contract_floor_0p0_quality_loose,marking_sensitivity,atm_straddle_30d,31,0.16129032258064516,0.06451612903225806,,,,0.0967741935483871,0.01941886728133148,0.18611151589252767,0.18611151589252767,0.23605777283758725,0.23605777283758725,0.18611151589252767,0.18461128324583564,,,,0.04994625694505958,0.23605777283758725,0.23605777283758725,0.003980098451611126,strict_exact_contract,loose,0.0,lightgbm
QQQ,107899,marking_lightgbm_strict_exact_contract_floor_0p0_quality_loose,marking_sensitivity,risk_reversal_25d_30d,37,0.24324324324324326,0.24324324324324326,,,,0.1891891891891892,-0.0029830326798751085,0.05421163685031654,0.05421163685031654,0.07190386774582254,0.07190386774582254,0.05421163685031654,0.04237015466649849,,,,0.017692230895505992,0.07190386774582254,0.07190386774582254,0.010481779510512674,strict_exact_contract,loose,0.0,lightgbm
QQQ,107899,marking_lightgbm_strict_exact_contract_floor_0p0_quality_loose,marking_sensitivity,short_put_spread_25delta_10delta_30d,37,0.1891891891891892,0.2972972972972973,,,,0.16216216216216217,0.017118768198656365,0.0679152667569767,0.0679152667569767,0.0870154081504651,0.0870154081504651,0.0679152667569767,0.039025580250815727,,,,0.019100141393488413,0.0870154081504651,0.0870154081504651,0.007886304401190569,strict_exact_contract,loose,0.0,lightgbm
QQQ,107899,floor_lightgbm_robust_all_none_quality_loose,var_floor_sensitivity,atm_straddle_30d,39,0.15384615384615385,0.05128205128205128,,,,0.07692307692307693,-0.029906142188740582,0.1846843150173356,0.1846843150173356,0.24215220056484818,0.24215220056484818,0.1846843150173356,0.24523009850992375,,,,0.05746788554751264,0.24215220056484818,0.24215220056484818,0.003588201568343372,robust_all,loose,,lightgbm
QQQ,107899,floor_lightgbm_robust_all_none_quality_loose,var_floor_sensitivity,risk_reversal_25d_30d,39,0.23076923076923078,0.23076923076923078,,,,0.1794871794871795,-0.0033499216799345974,0.05396854380524852,0.05396854380524852,0.0709692308382412,0.0709692308382412,0.05396854380524852,0.04230636782961227,,,,0.01700068703299268,0.0709692308382412,0.0709692308382412,0.008831968718323008,robust_all,loose,,lightgbm
QQQ,107899,floor_lightgbm_robust_all_none_quality_loose,var_floor_sensitivity,short_put_spread_25delta_10delta_30d,38,0.21052631578947367,0.2894736842105263,,,,0.13157894736842105,0.014104096493193463,0.06581764324329636,0.06581764324329636,0.08412153170674963,0.08412153170674963,0.06581764324329636,0.03902124304266662,,,,0.018303888463453263,0.08412153170674963,0.08412153170674963,0.007608146754810365,robust_all,loose,,lightgbm
